RiskPerformance,MSinceMostRecentInqexcl7days_1,MSinceMostRecentInqexcl7days_2,MSinceMostRecentInqexcl7days_3,MSinceMostRecentInqexcl7days_4,MSinceMostRecentInqexcl7days_5,MSinceMostRecentInqexcl7days_6,NumInqLast6M_1,NumInqLast6M_2,NumInqLast6M_3,NumInqLast6M_4,NumInqLast6M_5,NumInqLast6M_6,NumInqLast6Mexcl7days_1,NumInqLast6Mexcl7days_2,NumInqLast6Mexcl7days_3,NumInqLast6Mexcl7days_4,NumInqLast6Mexcl7days_5,NumInqLast6Mexcl7days_6
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
